Image,Caption,Rights
"urn:cite:ecod:einsiedeln121img.sbe_0121_021","Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 21.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Einsiedeln, Stiftsbibliothek, Codex 121 (1151), f. 21r (www.e-codices.unifr.ch)."
"urn:cite:ecod:einsiedeln121img.sbe_0121_022","Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 22.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Einsiedeln, Stiftsbibliothek, Codex 121 (1151), f. 22r (www.e-codices.unifr.ch)."
"urn:cite:ecod:einsiedeln121img.sbe_0121_023","Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 23.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Einsiedeln, Stiftsbibliothek, Codex 121 (1151), f. 23r (www.e-codices.unifr.ch)."
"urn:cite:ecod:einsiedeln121img.sbe_0121_024","Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 24.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Einsiedeln, Stiftsbibliothek, Codex 121 (1151), f. 24r (www.e-codices.unifr.ch)."
"urn:cite:ecod:einsiedeln121img.sbe_0121_025","Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 25.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Einsiedeln, Stiftsbibliothek, Codex 121 (1151), f. 25r (www.e-codices.unifr.ch)."
"urn:cite:ecod:einsiedeln121img.sbe_0121_026","Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 26.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Einsiedeln, Stiftsbibliothek, Codex 121 (1151), f. 26r (www.e-codices.unifr.ch)."
"urn:cite:ecod:einsiedeln121img.sbe_0121_027","Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 27.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Einsiedeln, Stiftsbibliothek, Codex 121 (1151), f. 27r (www.e-codices.unifr.ch)."
"urn:cite:ecod:einsiedeln121img.sbe_0121_028","Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 28.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Einsiedeln, Stiftsbibliothek, Codex 121 (1151), f. 28r (www.e-codices.unifr.ch)."
"urn:cite:ecod:einsiedeln121img.sbe_0121_029","Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 29.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Einsiedeln, Stiftsbibliothek, Codex 121 (1151), f. 29r (www.e-codices.unifr.ch)."
"urn:cite:ecod:einsiedeln121img.sbe_0121_030","Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 30.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Einsiedeln, Stiftsbibliothek, Codex 121 (1151), f. 30r (www.e-codices.unifr.ch)."
"urn:cite:ecod:einsiedeln121img.sbe_0121_031","Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 31.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Einsiedeln, Stiftsbibliothek, Codex 121 (1151), f. 31r (www.e-codices.unifr.ch)."
"urn:cite:ecod:einsiedeln121img.sbe_0121_032","Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 32.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Einsiedeln, Stiftsbibliothek, Codex 121 (1151), f. 32r (www.e-codices.unifr.ch)."
"urn:cite:ecod:einsiedeln121img.sbe_0121_033","Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 33.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Einsiedeln, Stiftsbibliothek, Codex 121 (1151), f. 33r (www.e-codices.unifr.ch)."
