Image,Caption,Rights
urn:cite:cp:cpgraec415.cpgraec415-page25,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 1, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page26,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 1, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page27,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 2, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page28,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 2, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page29,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 3, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page30,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 3, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page31,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 4, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page32,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 4, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page33,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 5, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page34,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 5, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page35,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 6, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page36,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 6, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page37,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 7, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page38,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 7, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page39,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 8, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page40,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 8, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page41,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 9, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page42,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 9, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page43,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 10, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page44,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 10, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page45,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 11, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page46,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 11, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page47,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 12, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page48,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 12, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page49,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 13, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415.cpgraec415-page50,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 13, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
