Image,Rights,Caption
urn:cite:bnf:grsupp679img.bnfgrsupp679_img42,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 15 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img43,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 16 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img44,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 16 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img45,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 17 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img46,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 17 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img47,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 18 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img48,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 18 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img49,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 19 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img50,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 19 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img51,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 20 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img52,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 20 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img53,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 21 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img54,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 21 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img55,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 22 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img56,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 22 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img57,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 23 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img58,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 23 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img59,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 24 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img60,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 24 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img61,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 25 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img62,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 25 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img63,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 26 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img64,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 26 verso"
