Image,Caption,Rights
urn:cite:cp:cpgraec375img.cpgraec375_img15,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 1, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img16,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 1, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img17,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 2, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img18,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 2, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img19,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 3, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img20,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 3, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img21,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 4, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img22,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 4, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img23,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 5, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img24,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 5, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img25,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 6, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img26,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 6, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img27,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 7, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img28,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 7, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img29,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 8, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img30,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 8, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img31,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 9, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img32,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 9, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img33,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 10, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img34,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 10, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img35,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 11, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img36,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 11, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img37,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 12, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img38,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 12, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img39,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 13, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img40,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 13, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec375img.cpgraec375_img41,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 375, folio 14, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
