urn:cite:hmt:bmpap114,"Images of the Bankes Papyrus (British Museum Papyrus 114)",@pyramids@/homer/pyramidal/Bankes,bmpap114_Label,bmpap114_Rights
urn:cite:hmt:vgf64img,"Images of Leiden MS VGF 64",@pyramids@/homer/pyramidal/VGF64,vgf64img_Label,vgf64_Rights
urn:cite:bnf:gr1393img,"Images of Bibliothèque nationale de France, Département des manuscrits, Ms. gr. 1393",@pyramids@/homer/gallica/bnf1393,gr1393img_Caption,gr1393img_Rights
urn:cite:bsb:muncg639img,"Images of Bayerische Staatsbibliothek, Codex Graecus 639",@pyramids@/homer/munich/MunCG639,muncg639img_Caption,muncg639img_Rights
urn:cite:bnf:gr2370img,"Images of Bibliothèque nationale de France, Département des manuscrits, gr. 2370",@pyramids@/homer/gallica/bnf2370,gr2370img_Caption,gr2370img_Rights
urn:cite:bnf:grsupp1189img,"Images of Bibliothèque nationale de France, Département des manuscrits, supp. gr. 1189",@pyramids@/homer/gallica/suppgr1189,grsupp1189img_Caption,grsupp1189img_Rights
urn:cite:bsb:muncg167img,"Images of Bayerische Staatsbibliothek Codex Graecus 167",@pyramids@/homer/munich/MunCG167,muncg167img_Caption,muncg167img_Rights
urn:cite:bsb:muncg137img,"Images of Bayerische Staatsbibliothek Codex Graecus 137",@pyramids@/homer/munich/MunCG137,muncg137img_Caption,muncg137img_Rights
urn:cite:bnf:lat4802img,"Images of Bibliothèque nationale de France, Département des manuscrits, lat. 4802",@pyramids@/homer/gallica/bnflat4802,lat4802img_Caption,lat4802img_Rights
urn:cite:bnf:gr1266img,"Images of Bibliothèque nationale de France, Département des manuscrits, gr. 1266",@pyramids@/homer/gallica/bnf1266,gr1266img_Caption,gr1266img_Rights
urn:cite:bsb:muncg361aimg,"Images of Bayerische Staatsbibliothek Codex Graecus 361 a",@pyramids@/homer/munich/MunCG361,muncg361aimg_Caption,muncg361aimg_Rights
urn:cite:bsb:muncg287img,"Images of Bayerische Staatsbibliothek Codex Graecus 287",@pyramids@/homer/munich/MunCG287,muncg287img_Caption,muncg287img_Rights
urn:cite:cp:cpgraec451img,"Images of Codex Palatinus graecus 451",@pyramids@/homer/codpal/cpgraec451,cpgraec451img_Caption,cpgraec451img_Rights
urn:cite:ecod:cb48img,"Images of Codex Bodmer 8 from the e-codices project",@pyramids@/homer/e-codices/english/CodBod48,cb48img_Label,cb48img_Rights
urn:cite:cp:cpgraec18img,"Images of Codex Palatinus graecus 18",@pyramids@/homer/codpal/cpgraec18,cpgraec18img_Caption,cpgraec18img_Rights
urn:cite:bsb:muncg105img,"Images of Bayerische Staatsbibliothek, Codex Graecus 105",@pyramids@/homer/munich/MunCG105,muncg105img_Caption,muncg105img_Rights
urn:cite:cp:cpgraec47img,"Images of Codex Palatinus graecus 47",@pyramids@/homer/codpal/cpgraec47,cpgraec47img_Caption,cpgraec47img_Rights
urn:cite:bsb:muncg427img,"Images of Bayerische Staatsbibliothek, Codex Graecus 427",@pyramids@/homer/munich/MunCG427,muncg427img_Caption,muncg427img_Rights
urn:cite:bnf:grsupp679img,"Images of Bibliothèque nationale de France, Département des manuscrits, supp. gr. 679",@pyramids@/homer/gallica/suppgr679,grsupp679img_Caption,grsupp679img_Rights
urn:cite:ecod:sg339img,"Images of St. Gallen, Stiftsbibliothek, Codex 339",@pyramids@/homer/e-codices/latin/CodSang339,sg339img_Caption,sg339img_Rights
urn:cite:ecod:einsiedeln121img,"Images of Einsiedeln, Stiftsbibliothek, Codex 121",@pyramids@/homer/e-codices/latin/Einsiedeln121,einsiedeln121img_Caption,einsiedeln121img_Rights
urn:cite:hcmid:gen49bifolioimg,"Images of Einsiedeln, Stiftsbibliothek, Codex 49",@pyramids@/homer/e-codices/latin/Gen49,gen49bifolioimgs_Caption,gen49bifolioimgs_Rights
