Codex,Libary,Siglum,Label,Century,PageModel,PrimaryLang
urn:cite:episteme:mss.dorv31,"Bodleian Library, Oxford","MS D'Orville 301",LAB,?,-,grc
urn:cite:episteme:mss.bpg78,"Universiteit Leiden","BPG 78",LAB,?,-,grc
urn:cite:episteme:mss.vgf1,"Universiteit Leiden","VGF 1",LAB,?,-,grc
urn:cite:episteme:mss.cb8,"Cologny, Fondation Martin Bodmer","Codex 8",LAB,?,-,grc
urn:cite:episteme:mss.ap,"The owner of the Archimedes Palimpsest","The Archimedes Palimpsest",LAB,?,-,grc
