Codex,Libary,Siglum,Label,Century,PageModel,PrimaryLang
urn:cite:ecodd:mss.sg570,"St. Gallen, Stiftsbibliothek","Cod. Sang. 570",LAB,?,-,lat
urn:cite:ecodd:mss.cb48,"Cologny, Fondation Martin Bodmer","Codex 48",LAB,?,-,eng
