Codex,Libary,Siglum,Label,Century,PageModel,PrimaryLang
urn:cite:bsb:mss.cg88,Bayerische Staatsbibliothek,Codex Graecus 88,LAB,?,-,grc
urn:cite:bsb:mss.cg104,Bayerische Staatsbibliothek,Codex Graecus 104,LAB,?,-,grc
urn:cite:bsb:mss.cg137,Bayerische Staatsbibliothek,Codex Graecus 137,LAB,?,-,grc
urn:cite:bsb:mss.cg167,Bayerische Staatsbibliothek,Codex Graecus 167,LAB,?,-,grc
urn:cite:bsb:mss.cg212,Bayerische Staatsbibliothek,Codex Graecus 212,LAB,?,-,grc
urn:cite:bsb:mss.cg639,Bayerische Staatsbibliothek,Codex Graecus 639,LAB,?,-,grc
