Image,Caption,Rights
"urn:cite:ap:apimg.002v-001r_Arch13v_Sinar_pseudo_no-veil","Composite pseudo-color image, 2 recto - 1 verso","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.002v-001r_Arch13v_Sinar_pseudo_sharpie","Composite pseudo-color image, 2 verso - 1 recto","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_no-veil","Composite pseudo-color image, 2 verso - 1 recto","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_sharpie","Composite pseudo-color image, 3 recto - 6 verso","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.003v-006r_Arch46v_Sinar_pseudo_no-veil","Composite pseudo-color image, 3 recto - 6 verso","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.003v-006r_Arch46v_Sinar_pseudo_sharpie","Composite pseudo-color image, 3 verso - 6 recto","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.004r-005v_Arch47r_Sinar_pseudo_no-veil","Composite pseudo-color image, 3 verso - 6 recto","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.004r-005v_Arch47r_Sinar_pseudo_sharpie","Composite pseudo-color image, 4 recto - 5 verso","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.004v-005r_Arch47v_Sinar_pseudo_no-veil","Composite pseudo-color image, 4 recto - 5 verso","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.004v-005r_Arch47v_Sinar_pseudo_sharpie","Composite pseudo-color image, 4 verso - 5 recto","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
